ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
399915,Photographer's Assistants,800,55,64,N/A,35,N/A,,
399916,Plastics Technicians,210,10,3,N/A,49,N/A,,
399917,Wool Classers,460,36,51,N/A,48,N/A,,
399918,Fire Protection Equipment Technicians,4100,13,4,N/A,40,N/A,,
399999,Technicians and Trades Workers (not covered elsewhere),4200,25,13,N/A,43,N/A,,
411111,Ambulance Officers,17500,17,45,N/A,37,N/A,,
411112,Intensive Care Ambulance Paramedics,1600,12,32,N/A,43,N/A,,
411211,Dental Hygienists,1300,71,96,N/A,40,N/A,,
411212,Dental Prosthetists,880,31,18,N/A,53,N/A,,
411213,Dental Technicians,2800,33,40,N/A,41,N/A,,
411214,Dental Therapists,2600,55,91,N/A,33,N/A,,
411411,Enrolled Nurses,41600,59,89,N/A,43,N/A,,
411412,Mothercraft Nurses,130,70,97,N/A,57,N/A,,
411711,Community Workers,28400,39,80,N/A,45,N/A,,
411712,Disabilities Services Officers,15600,33,78,N/A,42,N/A,,
411713,Family Support Workers,4100,49,87,N/A,42,N/A,,
411714,Parole and Probation Officers,2100,14,72,N/A,40,N/A,,
411715,Residential Care Officers,2800,27,69,N/A,43,N/A,,
411716,Youth Workers,16200,38,59,N/A,34,N/A,,
421111,Child Care Workers,123800,54,97,N/A,34,N/A,,
421112,Family Day Care Workers,8300,34,98,N/A,45,N/A,,
421113,Nannies,7100,78,98,N/A,27,N/A,,
421114,Out of School Hours Care Workers,11200,90,79,N/A,23,N/A,,
422111,Aboriginal and Torres Strait Islander Education Workers,2200,55,75,N/A,40,N/A,,
422112,Integration Aides,22100,77,91,N/A,48,N/A,,
422115,Preschool Aides,3100,79,98,N/A,46,N/A,,
422116,Teachers' Aides,74800,78,88,N/A,46,N/A,,
423311,Hospital orderlies,14900,43,40,N/A,48,N/A,,
423312,Nursing Support Workers,39700,64,85,N/A,36,N/A,,
423313,Personal Care Assistants,42300,67,86,N/A,43,N/A,,
423314,Therapy Aides,7800,72,85,N/A,39,N/A,,
423411,Child and Youth Residential Care Assistants,1100,43,69,N/A,35,N/A,,
423412,Hostel Parents,1400,52,68,N/A,36,N/A,,
423413,Refuge Workers,300,54,87,N/A,45,N/A,,
431111,Bar Attendants,45600,77,50,N/A,24,N/A,,
431112,Baristas,46300,78,74,N/A,24,N/A,,
431911,Bar Usefuls and Bussers,650,92,17,N/A,20,N/A,,
431912,Doorpersons and Luggage Porters,820,67,23,N/A,37,N/A,,
431999,Hospitality Workers (not covered elsewhere),3500,76,68,N/A,22,N/A,,
441211,Emergency Service Workers,1600,12,25,N/A,43,N/A,,
441212,Fire Fighters,13300,7,8,N/A,43,N/A,,
441311,Detectives,4800,7,28,N/A,41,N/A,,
441312,Police Officers,55400,8,29,N/A,41,N/A,,
442211,Alarm Security and Surveillance Monitors,970,20,30,N/A,40,N/A,,
442212,Armoured Car Escorts,480,37,9,N/A,47,N/A,,
442213,Crowd Controllers,390,73,22,N/A,30,N/A,,
442214,Private Investigators,570,50,34,N/A,52,N/A,,
442215,Retail Loss Prevention Officers,1400,71,63,N/A,41,N/A,,
442216,Security Consultants,1100,16,23,N/A,45,N/A,,
442217,Security Officers,42200,30,15,N/A,41,N/A,,
442299,Other Security Workers,2000,26,46,N/A,40,N/A,,
451311,Funeral Directors,3000,23,52,N/A,52,N/A,,
451399,Funeral Workers (Other),940,50,45,N/A,53,N/A,,
451411,Gallery and Museum Guides,1300,80,72,N/A,36,N/A,,
451412,Tour Guides,2900,59,48,N/A,44,N/A,,
451511,Natural Remedy Consultants,3700,77,85,N/A,47,N/A,,
451512,Weight Loss Consultants,310,78,97,N/A,49,N/A,,
451513,Herbalists (Western),150,76,88,N/A,55,N/A,,
451611,Tourist Information Officers,1300,56,80,N/A,46,N/A,,
451612,Travel Consultants,8900,47,78,N/A,43,N/A,,
451711,Flight Attendants,6100,64,77,N/A,39,N/A,,
451799,Other Travel Attendants,460,31,60,N/A,41,N/A,,
451811,Civil Celebrants,1100,81,79,N/A,56,N/A,,
451812,Hair and Beauty Salon Assistants,1400,89,92,N/A,19,N/A,,
451814,Body Artists,3700,51,49,N/A,32,N/A,,
451815,First Aid Trainers,980,65,52,N/A,50,N/A,,
451816,Religious Assistants,2400,68,68,N/A,49,N/A,,
451899,Personal Service Workers (not covered elsewhere),7500,77,76,N/A,43,N/A,,
452211,Bungy Jump Masters,40,N/A,N/A,N/A,N/A,N/A,,
452212,Fishing Guides,110,43,3,N/A,45,N/A,,
452213,Hunting Guides,40,N/A,N/A,N/A,N/A,N/A,,
452214,Mountain and Glacier Guides,40,N/A,N/A,N/A,N/A,N/A,,
452215,Outdoor Adventure Instructors,1700,51,47,N/A,27,N/A,,
452216,Trekking Guides,50,75,40,N/A,34,N/A,,
452217,Whitewater Rafting Guides,40,N/A,N/A,N/A,N/A,N/A,,
452299,Other Outdoor Adventure Guides,350,59,39,N/A,33,N/A,,
452311,Scuba Snorkelling and Dive instructors,510,48,34,N/A,35,N/A,,
452312,Gymnastics Coaches and Instructors,4200,89,80,N/A,20,N/A,,
452313,Horse Riding Coaches and Instructors,930,61,88,N/A,42,N/A,,
452314,Snowsport Instructors,680,84,46,N/A,25,N/A,,
452315,Swimming Coaches and Instructors,12000,92,75,N/A,22,N/A,,
452316,Tennis Coaches,3100,80,22,N/A,28,N/A,,
452317,Other Sports Coaches and Instructors,8800,73,28,N/A,26,N/A,,
452318,Dog and Horse Racing Officials,610,30,23,N/A,46,N/A,,
452321,Sports Development Officers,1100,30,41,N/A,31,N/A,,
452322,Sports Umpires,4900,98,28,N/A,16,N/A,,
452323,Other Sports Officials,140,73,29,N/A,21,N/A,,
452411,Footballers (Soccer Rugby and AFL),1700,53,6,N/A,23,N/A,,
452412,Golfers,900,36,7,N/A,42,N/A,,
452413,Jockeys,530,25,39,N/A,29,N/A,,
452414,Lifeguards,5000,85,39,N/A,21,N/A,,
452499,Other Sportspersons,1300,57,31,N/A,26,N/A,,
511111,Contract Administrators,21200,13,49,N/A,41,N/A,,
511112,Program and Project Administrators,103200,20,59,N/A,42,N/A,,
512211,Health Practice Managers,22800,42,91,N/A,48,N/A,,
512299,Other Practice Managers,4500,31,83,N/A,45,N/A,,
521211,Secretaries (General),22700,61,95,N/A,55,N/A,,
521212,Legal Secretaries,7700,41,97,N/A,42,N/A,,
532111,Data Entry Operators,34400,46,81,N/A,40,N/A,,
532112,Machine Shorthand Reporters,1400,58,80,N/A,49,N/A,,
532113,Typists,4800,63,92,N/A,53,N/A,,
541111,Call Centre or Contact Centre Team Leaders,2900,18,62,N/A,35,N/A,,
541112,Call Centre or Contact Centre Operators,36100,35,69,N/A,34,N/A,,
542111,Receptionists (General),70900,52,94,N/A,37,N/A,,
542112,Admissions Clerks,8000,53,92,N/A,48,N/A,,
542113,Hotel and Motel Receptionists,9900,63,76,N/A,33,N/A,,
542114,Medical Receptionists,71500,69,96,N/A,42,N/A,,
551111,Accounts Clerks,93000,37,85,N/A,45,N/A,,
551112,Cost Clerks,8600,15,24,N/A,42,N/A,,
552311,Bookmakers,430,19,9,N/A,38,N/A,,
552312,Insurance Consultants,28300,22,70,N/A,38,N/A,,
552313,Money Market Clerks,1000,21,64,N/A,38,N/A,,
552314,Statistical Clerks,130,32,64,N/A,38,N/A,,
561111,Betting Agency Counter Clerks,600,60,62,N/A,52,N/A,,
561112,Bookmaker's Clerks,40,N/A,N/A,N/A,N/A,N/A,,
561113,Telephone Betting Clerks,190,35,50,N/A,29,N/A,,
561199,Other Betting Clerks,180,83,78,N/A,54,N/A,,
561211,Couriers,26300,32,12,N/A,45,N/A,,
561212,Postal Delivery Officers,14100,27,24,N/A,51,N/A,,
561411,Mail Clerks,2000,41,46,N/A,45,N/A,,
561412,Postal Sorting Officers,7700,35,51,N/A,50,N/A,,
561911,Classified Advertising Clerks,110,41,79,N/A,43,N/A,,
561912,Meter Readers,1900,43,14,N/A,44,N/A,,
561913,Parking Inspectors,840,20,24,N/A,49,N/A,,
561999,Clerical and Office Support Workers (not covered elsewhere),6400,58,70,N/A,44,N/A,,
591112,Production Clerks,4500,19,58,N/A,40,N/A,,
591113,Purchasing Officers,15800,16,56,N/A,43,N/A,,
591115,Stock Clerks,19300,28,44,N/A,39,N/A,,
591116,Warehouse Administrators,19900,14,18,N/A,43,N/A,,
591117,Order Clerks,14200,26,68,N/A,38,N/A,,
591211,Despatching and Receiving Clerks,25900,14,34,N/A,42,N/A,,
591212,Import-Export Clerks,5100,14,48,N/A,43,N/A,,
599111,Conveyancers,7400,31,85,N/A,42,N/A,,
599112,Legal Executives,8300,47,80,N/A,28,N/A,,
599211,Clerks of Court,1300,15,78,N/A,36,N/A,,
599212,Court Bailiffs and Sheriffs,690,21,33,N/A,50,N/A,,
599213,Court Orderlies,1400,27,71,N/A,40,N/A,,
599214,Law Clerks,9000,42,81,N/A,29,N/A,,
599215,Trust Officers,1200,29,79,N/A,45,N/A,,
599511,Customs Officers,970,21,48,N/A,45,N/A,,
599512,Immigration Officers,3800,21,52,N/A,44,N/A,,
599513,Motor Vehicle Licence Examiners,1600,31,62,N/A,44,N/A,,
599514,Noxious Weeds and Pest Inspectors,1400,22,34,N/A,45,N/A,,
599515,Social Security Assessors,13400,28,74,N/A,44,N/A,,
599516,Taxation Inspectors,4600,16,55,N/A,42,N/A,,
599517,Train Examiners,140,11,13,N/A,49,N/A,,
599518,Transport Operations Inspectors,1200,10,26,N/A,47,N/A,,
599521,Water Inspectors,290,12,34,N/A,45,N/A,,
599599,Other Inspectors and Regulatory Officers,13200,16,42,N/A,44,N/A,,
599611,Insurance Investigators,400,29,41,N/A,48,N/A,,
599612,Insurance Loss Adjusters,3800,12,31,N/A,45,N/A,,
599613,Insurance Risk Surveyors,960,11,36,N/A,44,N/A,,
599912,Production Assistants (Film Television Radio or Stage),1400,26,59,N/A,29,N/A,,
599913,Proof Readers,270,77,76,N/A,55,N/A,,
599914,Radio Despatchers,3600,24,69,N/A,39,N/A,,
599915,Clinical Coders,1600,41,91,N/A,51,N/A,,
599916,Facilities Administrators,3800,17,40,N/A,47,N/A,,
599999,Clerical and Administrative Workers (not covered elsewhere),8500,48,72,N/A,33,N/A,,
611111,Auctioneers,570,18,14,N/A,48,N/A,,
611112,Stock and Station Agents,2200,10,11,N/A,47,N/A,,
611311,Sales Representatives (Building and Plumbing Supplies),9000,11,22,N/A,46,N/A,,
611312,Sales Representatives (Business Services),15900,18,44,N/A,41,N/A,,
611313,Sales Representatives (Motor Vehicle Parts and Accessories),3900,12,13,N/A,45,N/A,,
611314,Sales Representatives (Personal and Household Goods),24800,21,38,N/A,45,N/A,,
611399,Other Sales Representatives,17100,18,39,N/A,43,N/A,,
612111,Business Brokers,580,36,17,N/A,55,N/A,,
612112,Property Managers,39200,28,67,N/A,43,N/A,,
612113,Real Estate Agency Principals,7200,22,38,N/A,49,N/A,,
612114,Real Estate Agents,24900,21,36,N/A,43,N/A,,
612115,Real Estate Representatives,13200,25,42,N/A,43,N/A,,
621311,Motor Vehicle and Caravan Salespersons,14500,23,16,N/A,40,N/A,,
621312,Motor Vehicle Parts Interpreters,17600,18,19,N/A,40,N/A,,
621711,Cash Van Salespersons,1400,42,32,N/A,48,N/A,,
621712,Door-to-door Salespersons,3000,55,58,N/A,40,N/A,,
621713,Street Vendors,580,72,49,N/A,50,N/A,,
621911,Materials Recyclers,2900,37,10,N/A,42,N/A,,
621912,Rental Salespersons,3200,40,46,N/A,38,N/A,,
621999,Sales Assistants and Salespersons (not covered elsewhere),4400,29,34,N/A,45,N/A,,
631111,Checkout Operators,93000,88,73,N/A,21,N/A,,
631112,Cashiers,3300,80,78,N/A,27,N/A,,
639111,Models,610,83,81,N/A,26,N/A,,
639112,Sales Demonstrators,8300,79,80,N/A,48,N/A,,
639211,Retail Buyers,4200,16,61,N/A,37,N/A,,
639212,Wool Buyers,190,27,8,N/A,56,N/A,,
639411,Ticket Sellers,12100,60,67,N/A,36,N/A,,
639412,Transport Conductors,340,10,29,N/A,43,N/A,,
711111,Clay Products Machine Operators,530,11,4,N/A,44,N/A,,
711112,Concrete Products Machine Operators,600,12,2,N/A,39,N/A,,
711113,Glass Production Machine Operators,1300,12,5,N/A,44,N/A,,
711114,Stone Processing Machine Operators,280,18,1,N/A,35,N/A,,
711199,Other Clay Concrete Glass and Stone Processing Machine Operators,210,12,4,N/A,48,N/A,,
711311,Paper Products Machine Operators,1900,10,11,N/A,47,N/A,,
711313,Sawmilling Operators,1400,14,6,N/A,42,N/A,,
711314,Other Wood Processing Machine Operators,2000,15,6,N/A,41,N/A,,
711511,Plastic Cablemaking Machine Operators,60,11,9,N/A,58,N/A,,
711512,Plastic Compounding and Reclamation Machine Operators,60,12,0,N/A,52,N/A,,
711513,Plastics Fabricators and Welders,900,13,4,N/A,41,N/A,,
711514,Plastics Production Machine Operators (General),2000,11,16,N/A,48,N/A,,
711515,Reinforced Plastic and Composite Production Workers,830,16,6,N/A,42,N/A,,
711516,Rubber Production Machine Operators,1500,8,3,N/A,38,N/A,,
711599,Other Plastics and Rubber Production Machine Operators,150,13,12,N/A,41,N/A,,
711711,Footwear Production Machine Operators,140,33,71,N/A,52,N/A,,
711712,Hide and Skin Processing Machine Operators,160,17,19,N/A,44,N/A,,
711713,Knitting Machine Operators,50,30,43,N/A,57,N/A,,
711714,Textile Dyeing and Finishing Machine Operators,90,29,36,N/A,50,N/A,,
711715,Weaving Machine Operators,220,22,41,N/A,51,N/A,,
711716,Yarn Carding and Spinning Machine Operators,220,5,21,N/A,37,N/A,,
711799,Other Textile and Footwear Production Machine Operators,390,26,27,N/A,49,N/A,,
711911,Chemical Production Machine Operators,3100,21,34,N/A,43,N/A,,
711912,Motion Picture Projectionists,100,72,24,N/A,32,N/A,,
711913,Sand Blasters,670,17,1,N/A,41,N/A,,
711914,Sterilisation Technicians,4800,42,67,N/A,50,N/A,,
711999,Machine Operators (not covered elsewhere),4700,27,20,N/A,37,N/A,,
712211,Drillers,8100,7,2,N/A,38,N/A,,
712212,Miners,40600,6,12,N/A,42,N/A,,
712213,Shot Firers,2600,6,10,N/A,37,N/A,,
712911,Boiler and Engine Operators,540,6,2,N/A,50,N/A,,
712912,Bulk Materials Handling Plant Operators,2800,12,12,N/A,44,N/A,,
712913,Cement Production Plant Operators,310,8,4,N/A,48,N/A,,
712914,Concrete Batching Plant Operators,790,5,3,N/A,44,N/A,,
712915,Concrete Pump Operators,2200,19,1,N/A,36,N/A,,
712916,Paper and Pulp Mill Operators,1100,9,9,N/A,49,N/A,,
712917,Railway Signal Operators,1200,10,15,N/A,43,N/A,,
712918,Train Controllers,1300,7,18,N/A,45,N/A,,
712921,Waste Water and Water Plant Operators,5200,7,8,N/A,46,N/A,,
712922,Weighbridge Operators,1100,24,63,N/A,46,N/A,,
712999,Stationary Plant Operators (not covered elsewhere),4800,12,11,N/A,43,N/A,,
721111,Agricultural and Horticultural Mobile Plant Operators,9300,19,9,N/A,41,N/A,,
721112,Logging Plant Operators,1200,7,3,N/A,42,N/A,,
721211,Earthmoving Plant Operators (General),3700,10,3,N/A,49,N/A,,
721212,Backhoe Operators,430,16,1,N/A,56,N/A,,
721213,Bulldozer Operators,1500,9,3,N/A,48,N/A,,
721214,Excavator Operators,10600,14,1,N/A,43,N/A,,
721215,Grader Operators,2100,8,3,N/A,52,N/A,,
721216,Loader Operators,5100,15,4,N/A,48,N/A,,
721911,Aircraft Baggage Handlers and Airline Ground Crews,4000,59,16,N/A,35,N/A,,
721912,Linemarkers,980,27,4,N/A,38,N/A,,
721913,Paving Plant Operators,250,12,0,N/A,39,N/A,,
721914,Railway Track Plant Operators,390,10,3,N/A,41,N/A,,
721915,Road Roller Operators,640,15,12,N/A,49,N/A,,
721916,Streetsweeper Operators,620,12,4,N/A,54,N/A,,
721999,Mobile Plant Operators (not covered elsewhere),1400,16,4,N/A,39,N/A,,
731111,Chauffeurs,1900,66,10,N/A,59,N/A,,
731112,Taxi Drivers,13800,48,6,N/A,50,N/A,,
731199,Other Automobile Drivers,20100,61,6,N/A,41,N/A,,
731211,Bus Drivers,34200,40,13,N/A,56,N/A,,
731212,Charter and Tour Bus Drivers,1500,64,13,N/A,60,N/A,,
731213,Passenger Coach Drivers,1800,48,11,N/A,58,N/A,,
731311,Train Drivers,11200,8,14,N/A,47,N/A,,
731312,Tram Drivers,1600,12,25,N/A,51,N/A,,
733111,Truck Drivers (General),148400,16,4,N/A,48,N/A,,
733112,Aircraft Refuellers,710,22,8,N/A,46,N/A,,
733113,Furniture Removalist Drivers,5800,54,5,N/A,32,N/A,,
733114,Tanker Drivers,3800,11,3,N/A,52,N/A,,
733115,Tow Truck Drivers,2600,22,2,N/A,45,N/A,,
811411,Commercial Housekeepers,24900,80,84,N/A,41,N/A,,
811412,Domestic Housekeepers,4400,76,88,N/A,46,N/A,,
811511,Laundry Workers (General),9700,56,71,N/A,49,N/A,,
811512,Drycleaners,1700,62,59,N/A,51,N/A,,
811513,Ironers and Pressers,600,78,77,N/A,53,N/A,,
811611,Carpet Cleaners,2400,63,10,N/A,49,N/A,,
811612,Window Cleaners,2900,73,13,N/A,42,N/A,,
811699,Cleaners (not covered elsewhere),6100,39,10,N/A,42,N/A,,
821111,Builder's Labourers,42300,27,4,N/A,34,N/A,,
821112,Drainage Sewerage and Stormwater Labourers,3300,8,5,N/A,44,N/A,,
821113,Earthmoving Labourers,2000,22,3,N/A,36,N/A,,
821114,Plumber's Assistants,1600,35,6,N/A,29,N/A,,
821411,Building Insulation Installers,4400,31,4,N/A,36,N/A,,
821412,Home Improvement Installers,12700,27,2,N/A,41,N/A,,
821711,Construction Riggers,7400,12,2,N/A,39,N/A,,
821712,Scaffolders,8300,20,1,N/A,33,N/A,,
821713,Steel Fixers,4000,24,1,N/A,35,N/A,,
821714,Structural Steel Erectors,380,15,1,N/A,38,N/A,,
821911,Crane Chasers,830,20,4,N/A,37,N/A,,
821912,Driller's Assistants,2300,8,3,N/A,29,N/A,,
821913,Laggers,380,20,1,N/A,42,N/A,,
821914,Mining Support Workers,1700,13,13,N/A,34,N/A,,
821915,Surveyor's Assistants,1200,44,12,N/A,34,N/A,,
831111,Baking Factory Workers,3300,32,40,N/A,42,N/A,,
831112,Brewery Workers,1800,20,10,N/A,38,N/A,,
831113,Confectionery Makers,2200,27,46,N/A,44,N/A,,
831114,Dairy Products Makers,4300,22,25,N/A,43,N/A,,
831115,Fruit and Vegetable Factory Workers,2600,42,45,N/A,39,N/A,,
831116,Grain Mill Workers,1000,11,6,N/A,41,N/A,,
831117,Sugar Mill Workers,730,5,8,N/A,49,N/A,,
831118,Winery Cellar Hands,1800,20,20,N/A,38,N/A,,
831199,Other Food and Drink Factory Workers,10400,27,30,N/A,42,N/A,,
831211,Meat Boners and Slicers,6100,21,20,N/A,35,N/A,,
831212,Slaughterers,1800,20,5,N/A,35,N/A,,
831311,Meat Process Workers,10400,22,25,N/A,36,N/A,,
831312,Poultry Process Workers,6300,25,39,N/A,39,N/A,,
831313,Seafood Process Workers,2200,46,33,N/A,40,N/A,,
832111,Chocolate Packers,570,49,75,N/A,40,N/A,,
832112,Container Fillers,2900,39,42,N/A,40,N/A,,
832113,Fruit and Vegetable Packers,7900,49,65,N/A,33,N/A,,
832114,Meat Packers,11100,30,64,N/A,36,N/A,,
832115,Seafood Packers,710,54,55,N/A,35,N/A,,
832199,Other Packers,15600,52,60,N/A,38,N/A,,
839211,Plastics Factory Workers,1400,22,28,N/A,45,N/A,,
839212,Rubber Factory Workers,260,23,13,N/A,38,N/A,,
839311,Product Examiners,4000,20,45,N/A,43,N/A,,
839312,Product Graders,1900,39,64,N/A,41,N/A,,
839313,Product Testers,1900,17,31,N/A,38,N/A,,
839411,Paper and Pulp Mill Workers,430,24,20,N/A,47,N/A,,
839412,Sawmill and Timber Yard Workers,2700,19,8,N/A,39,N/A,,
839413,Wood and Wood Products Factory Workers,1800,24,8,N/A,33,N/A,,
839911,Cement and Concrete Plant Workers,830,16,3,N/A,37,N/A,,
839912,Chemical Plant Workers,2000,19,33,N/A,42,N/A,,
839913,Clay Processing Factory Workers,180,18,4,N/A,31,N/A,,
839914,Fabric and Textile Factory Workers,820,42,49,N/A,45,N/A,,
839915,Footwear Factory Workers,140,23,38,N/A,39,N/A,,
839916,Glass Processing Workers,680,15,7,N/A,37,N/A,,
839917,Hide and Skin Processing Workers,170,12,15,N/A,36,N/A,,
839918,Recycling Workers,3000,48,19,N/A,38,N/A,,
839999,Factory Process Workers (not covered elsewhere),1600,52,30,N/A,41,N/A,,
841211,Fruit and Nut Farm Workers,5200,35,27,N/A,37,N/A,,
841212,Fruit and Nut Pickers,5200,49,36,N/A,32,N/A,,
841213,Grain Oilseed and Pasture Farm Workers,1700,26,15,N/A,37,N/A,,
841214,Vegetable Farm Workers,3100,43,39,N/A,35,N/A,,
841215,Vegetable Pickers,1200,50,48,N/A,34,N/A,,
841216,Vineyard Workers,4100,39,25,N/A,44,N/A,,
841217,Mushroom Pickers,1400,43,80,N/A,42,N/A,,
841299,Other Crop Farm Workers,3100,35,30,N/A,38,N/A,,
841311,Forestry Workers,1300,34,16,N/A,32,N/A,,
841312,Logging Assistants,190,23,7,N/A,42,N/A,,
841313,Tree Fallers,590,19,4,N/A,39,N/A,,
841411,Garden Labourers,21000,49,8,N/A,44,N/A,,
841412,Nursery Hands (Horticulture),6300,49,56,N/A,38,N/A,,
841511,Beef Cattle Farm Workers,7800,29,35,N/A,32,N/A,,
841512,Dairy Cattle Farm Workers,4200,41,39,N/A,31,N/A,,
841513,Mixed Livestock Farm Workers,1500,34,29,N/A,36,N/A,,
841514,Poultry Farm Workers,3000,41,39,N/A,38,N/A,,
841515,Sheep Farm Workers,2400,39,26,N/A,37,N/A,,
841516,Stablehands,5600,49,67,N/A,27,N/A,,
841517,Wool Handlers,820,47,49,N/A,30,N/A,,
841599,Other Livestock Farm Workers,1400,24,32,N/A,38,N/A,,
841911,Hunter-Trappers,260,30,3,N/A,41,N/A,,
841913,Pest Controllers,6100,32,6,N/A,45,N/A,,
841999,Farm Forestry and Garden Workers (not covered elsewhere),4600,39,22,N/A,41,N/A,,
851211,Pastrycook's Assistants,3400,70,65,N/A,30,N/A,,
851299,Other Food Trades Assistants,990,75,49,N/A,33,N/A,,
891111,Freight Handlers (Rail or Road),8100,41,9,N/A,32,N/A,,
891112,Truck Driver's Offsiders,1200,54,10,N/A,27,N/A,,
891113,Waterside Workers,3500,33,5,N/A,47,N/A,,
899211,Deck Hands,2500,27,16,N/A,39,N/A,,
899212,Fishing Hands,2700,38,6,N/A,45,N/A,,
899411,Motor Vehicle Parts and Accessories Fitters (General),2700,16,4,N/A,37,N/A,,
899412,Autoglaziers,2100,22,4,N/A,39,N/A,,
899413,Exhaust and Muffler Repairers,180,18,3,N/A,53,N/A,,
899414,Radiator Repairers,240,14,1,N/A,47,N/A,,
899415,Tyre Fitters,6600,16,1,N/A,32,N/A,,
899511,Printer's Assistants,1600,34,40,N/A,43,N/A,,
899512,Printing Table Workers,570,40,63,N/A,52,N/A,,
899911,Bicycle Mechanics,1700,45,3,N/A,33,N/A,,
899912,Car Park Attendants,1500,54,20,N/A,44,N/A,,
899913,Crossing Supervisors,6300,99,60,N/A,64,N/A,,
899914,Electrical and Telecommunications Trades Assistants,2700,30,10,N/A,32,N/A,,
899915,Leaflet and Newspaper Deliverers,3400,94,38,N/A,41,N/A,,
899916,Mechanic's Assistants,1800,30,8,N/A,32,N/A,,
899917,Railways Assistants,2900,13,28,N/A,47,N/A,,
899918,Sign Erectors,1300,32,4,N/A,41,N/A,,
899921,Ticket Collectors and Ushers,1700,82,51,N/A,27,N/A,,
899922,Trolley Collectors,2800,81,5,N/A,26,N/A,,
899923,Road Traffic Controllers,16100,48,33,N/A,43,N/A,,
899999,Labourers (not covered elsewhere),16100,32,14,N/A,37,N/A,,
