ANZSCO Code,occupation,employed,parttime,female,earnings,age,growth,,
2725,Social Workers,47400,32,84,2172,38,1700,,
2726,Welfare Recreation and Community Arts Workers,42600,44,68,1960,39,1300,,
3111,Agricultural Technicians,2800,19,32,1808,33,200,,
3112,Medical Technicians,39200,41,70,1539,42,1100,,
3113,Primary Products Inspectors,4400,14,48,1330,46,0,,
3114,Science Technicians,23500,26,49,1794,44,1100,,
3121,Architectural Building and Surveying Technicians,79200,10,15,2280,42,-300,,
3122,Civil Engineering Draftspersons and Technicians,13600,8,22,1730,39,-400,,
3123,Electrical Engineering Draftspersons Technicians,10500,11,15,2854,41,0,,
3124,Electronic Engineering Draftspersons Technicians,7900,13,11,2142,42,800,,
3125,Mechanical Engineering Draftspersons Technicians,5400,6,7,2589,44,-300,,
3126,Safety Inspectors,6600,8,17,2382,49,-200,,
3129,Other Building and Engineering Technicians,42300,9,17,2954,43,2400,,
3131,ICT Support Technicians,77900,11,24,1687,36,2300,,
3132,Telecommunications Technical Specialists,4000,8,10,2286,43,100,,
3211,Automotive Electricians,10400,14,6,2808,35,-200,,
3212,Motor Mechanics,112600,9,3,1622,33,1800,,
3221,Metal Casting Forging and Finishing Trades,2900,N/A,N/A,N/A,39,0,,
3222,Sheetmetal Trades Workers,4100,0,6,N/A,28,-500,,
3223,Structural Steel and Welding Trades Workers,79100,4,1,1688,39,1100,,
3231,Aircraft Maintenance Engineers,9900,2,6,1980,46,-400,,
3232,Metal Fitters and Machinists,119900,6,4,2606,40,900,,
3233,Precision Metal Trades Workers,7800,16,5,1537,39,0,,
3234,Toolmakers and Engineering Patternmakers,1800,17,7,N/A,49,-300,,
3241,Panelbeaters,11400,8,0,1848,41,200,,
3242,Vehicle Body Builders and Trimmers,6700,1,0,1924,44,200,,
3243,Vehicle Painters,9200,7,3,1880,36,-200,,
3311,Bricklayers and Stonemasons,25800,16,1,2317,39,-800,,
3312,Carpenters and Joiners,149600,11,3,1760,30,2900,,
3321,Floor Finishers,11500,29,7,N/A,42,600,,
3322,Painting Trades Workers,50000,14,8,1379,39,-2300,,
3331,Glaziers,8500,15,10,N/A,38,0,,
3332,Plasterers,31600,18,2,1841,34,700,,
3333,Roof Tilers,9400,13,2,N/A,30,-100,,
3334,Wall and Floor Tilers,21800,17,7,N/A,39,500,,
3341,Plumbers,107600,7,3,1990,34,4500,,
3411,Electricians,197300,6,2,2191,33,7200,,
3421,Airconditioning and Refrigeration Mechanics,29700,9,1,2100,31,-400,,
3422,Electrical Distribution Trades Workers,12000,1,3,2731,38,600,,
3423,Electronics Trades Workers,31600,16,6,1882,38,1400,,
3424,Telecommunications Trades Workers,15800,11,4,2060,38,-1400,,
3511,Bakers and Pastrycooks,34200,26,37,1417,37,1000,,
