ANZSCO Code,Occupation,Employed,Part-time share (%),Female share (%),Median weekly earnings ($),Median age,Annual employment growth,,
3212,Motor Mechanics,"112,600",9,3,"1,622",33,"1,800",,
3221,"Metal Casting, Forging and Finishing Trades","2,900",N/A,N/A,N/A,39,0,,
3222,Sheetmetal Trades Workers,"4,100",0,6,N/A,28,-500,,
3223,Structural Steel and Welding Trades Workers,"79,100",4,1,"1,688",39,"1,100",,
3231,Aircraft Maintenance Engineers,"9,900",2,6,"1,980",46,-400,,
3232,Metal Fitters and Machinists,"119,900",6,4,"2,606",40,900,,
3233,Precision Metal Trades Workers,"7,800",16,5,"1,537",39,0,,
3234,Toolmakers and Engineering Patternmakers,"1,800",17,7,N/A,49,-300,,
3241,Panelbeaters,"11,400",8,0,"1,848",41,200,,
3242,Vehicle Body Builders and Trimmers,"6,700",1,0,"1,924",44,200,,
3243,Vehicle Painters,"9,200",7,3,"1,880",36,-200,,
3311,Bricklayers and Stonemasons,"25,800",16,1,"2,317",39,-800,,
3312,Carpenters and Joiners,"149,600",11,3,"1,760",30,"2,900",,
3321,Floor Finishers,"11,500",29,7,N/A,42,600,,
3322,Painting Trades Workers,"50,000",14,8,"1,379",39,"-2,300",,
3331,Glaziers,"8,500",15,10,N/A,38,0,,
3332,Plasterers,"31,600",18,2,"1,841",34,700,,
3333,Roof Tilers,"9,400",13,2,N/A,30,-100,,
3334,Wall and Floor Tilers,"21,800",17,7,N/A,39,500,,
3341,Plumbers,"107,600",7,3,"1,990",34,"4,500",,
3411,Electricians,"197,300",6,2,"2,191",33,"7,200",,
3421,Airconditioning and Refrigeration Mechanics,"29,700",9,1,"2,100",31,-400,,
3422,Electrical Distribution Trades Workers,"12,000",1,3,"2,731",38,600,,
3423,Electronics Trades Workers,"31,600",16,6,"1,882",38,"1,400",,
3424,Telecommunications Trades Workers,"15,800",11,4,"2,060",38,"-1,400",,
3511,Bakers and Pastrycooks,"34,200",26,37,"1,417",37,"1,000",,
3512,Butchers and Smallgoods Makers,"14,300",26,10,"1,550",40,100,,
3513,Chefs,"133,400",22,30,"1,423",34,"6,100",,
3514,Cooks,"30,700",55,52,"1,432",36,"-3,500",,
3611,Animal Attendants and Trainers,"27,200",48,74,"1,276",36,"1,300",,
3612,Shearers,"2,700",20,7,N/A,31,100,,
3613,Veterinary Nurses,"17,500",42,96,"1,667",28,"1,000",,
3621,Florists,"5,600",67,84,N/A,46,-300,,
3622,Gardeners,"87,000",32,11,N/A,41,900,,
3623,Greenkeepers,"13,600",31,5,"1,468",39,-100,,
3624,Nurserypersons,"4,400",63,45,N/A,59,300,,
3911,Hairdressers,"65,400",49,76,"1,209",36,500,,
3921,Print Finishers and Screen Printers,"3,800",21,23,N/A,50,300,,
3922,Graphic Pre-press Trades Workers,"1,300",N/A,N/A,N/A,45,-300,,
3923,Printers,"8,800",19,4,"1,408",49,-900,,
3931,Canvas and Leather Goods Makers,"1,100",N/A,N/A,N/A,53,-200,,
3932,Clothing Trades Workers,"8,400",52,76,N/A,54,200,,
3933,Upholsterers,"1,900",N/A,N/A,"1,527",37,-300,,
3941,Cabinetmakers,"30,500",7,5,"1,400",37,0,,
3942,Wood Machinists and Other Wood Trades Workers,"4,600",45,24,"1,405",53,700,,
3991,Boat Builders and Shipwrights,"3,100",18,8,"2,197",45,-500,,
3992,"Chemical, Gas, Petroleum and Power Plant Operators","7,100",3,4,"3,532",48,"-1,000",,
3993,"Gallery, Library and Museum Technicians","7,700",46,77,"1,498",51,200,,
3994,Jewellers,"4,100",40,39,N/A,55,-100,,
3995,Performing Arts Technicians,"15,500",31,21,"1,844",34,-500,,
3996,Signwriters,"6,300",24,8,N/A,43,200,,
3999,Other Miscellaneous Technicians and Trades Workers,"23,900",36,47,"2,036",40,300,,
4111,Ambulance Officers and Paramedics,"27,100",10,48,"2,852",36,800,,
4112,"Dental Hygienists, Technicians and Therapists","8,000",50,68,"2,210",44,-200,,
4113,Diversional Therapists,"5,300",48,74,"1,434",48,-200,,
4114,Enrolled and Mothercraft Nurses,"21,800",50,87,"1,777",38,-200,,
4115,Indigenous Health Workers,"1,200",N/A,N/A,"1,460",55,0,,
4116,Massage Therapists,"19,500",73,79,N/A,49,100,,
4117,Welfare Support Workers,"94,500",30,71,"1,844",39,"3,300",,
4211,Child Carers,"184,600",53,93,"1,341",33,"10,700",,
4221,Education Aides,"137,900",69,87,"1,342",42,"6,800",,
4231,Aged and Disabled Carers,"376,300",60,73,"1,761",41,"27,100",,
4232,Dental Assistants,"27,300",58,92,"1,211",30,"-1,600",,
4233,Nursing Support and Personal Care Workers,"110,400",52,74,"1,612",40,"3,600",,
4234,Special Care Workers,"3,500",50,79,"1,708",30,-300,,
4311,Bar Attendants and Baristas,"118,800",71,58,"1,500",23,"1,600",,
4312,Cafe Workers,"36,800",76,74,"1,346",22,800,,
4313,Gaming Workers,"4,300",25,56,"1,539",35,-600,,
4314,Hotel Service Managers,"10,200",29,67,"1,410",37,-300,,
4315,Waiters,"129,300",83,69,"1,346",21,-100,,
4319,Other Hospitality Workers,"5,800",75,59,"1,574",22,-300,,
4411,Defence Force Members - Other Ranks,"17,000",8,18,N/A,27,N/A,,
4412,Fire and Emergency Workers,"19,900",4,16,"2,473",45,600,,
4413,Police,"70,100",5,28,"2,560",40,900,,
4421,Prison Officers,"19,800",1,26,"2,080",40,"-1,500",,
4422,Security Officers and Guards,"66,800",22,17,"1,818",39,"2,600",,
4511,Beauty Therapists,"44,300",53,98,"1,178",33,"2,500",,
4512,Driving Instructors,"5,900",43,11,"2,224",53,-200,,
4513,Funeral Workers,"5,300",33,51,N/A,52,400,,
4514,"Gallery, Museum and Tour Guides","5,800",43,58,"1,432",41,0,,
4515,Personal Care Consultants,"4,400",74,90,N/A,47,-100,,
4516,Tourism and Travel Advisers,"19,100",32,80,"1,330",44,100,,
4517,Travel Attendants,"10,700",39,61,"1,504",37,200,,
4518,Other Personal Service Workers,"24,400",64,65,N/A,35,"1,800",,
4521,Fitness Instructors,"35,900",68,62,"1,500",36,400,,
4522,Outdoor Adventure Guides,"4,300",31,36,"1,298",36,100,,
4523,"Sports Coaches, Instructors and Officials","66,400",79,50,"1,442",21,"5,200",,
4524,Sportspersons,"13,100",63,34,N/A,21,-100,,
5111,"Contract, Program and Project Administrators","158,500",11,57,"2,130",43,"1,500",,
5121,Office Managers,"140,600",34,81,"1,730",47,"3,000",,
5122,Practice Managers,"30,600",32,86,"1,655",44,700,,
5211,Personal Assistants,"50,900",28,97,"1,832",43,-200,,
5212,Secretaries,"29,500",44,94,"1,626",46,"-1,600",,
5311,General Clerks,"292,100",40,81,"1,438",41,200,,
5321,Keyboard Operators,"49,900",43,75,"1,371",40,900,,
5411,Call or Contact Centre Workers,"28,500",22,64,"1,414",36,"-1,100",,
5412,Information Officers,"89,500",30,64,"1,462",36,"3,800",,
5421,Receptionists,"181,300",57,89,"1,229",36,"-2,000",,
5511,Accounting Clerks,"139,500",30,80,"1,442",45,-200,,
5512,Bookkeepers,"91,800",60,89,"1,400",52,"-1,000",,
5513,Payroll Clerks,"51,700",29,84,"1,606",46,"1,100",,
5521,Bank Workers,"38,600",23,65,"1,610",37,"-2,100",,
5522,Credit and Loans Officers,"35,600",13,57,"1,806",39,-900,,
5523,"Insurance, Money Market and Statistical Clerks","41,200",19,75,"1,501",40,900,,
5611,Betting Clerks,"1,900",N/A,N/A,N/A,76,100,,
5612,Couriers and Postal Deliverers,"41,700",30,15,"1,503",47,-200,,
5613,Filing and Registry Clerks,"16,300",47,71,"1,602",43,-700,,
5614,Mail Sorters,"11,400",32,51,N/A,50,"-1,200",,
5615,Survey Interviewers,800,N/A,N/A,N/A,37,-500,,
5616,Switchboard Operators,"2,600",16,68,N/A,49,100,,
5619,Other Clerical and Office Support Workers,"6,600",46,57,"1,433",41,300,,
5911,Purchasing and Supply Logistics Clerks,"120,800",20,45,"1,553",41,"4,600",,
5912,Transport and Despatch Clerks,"46,000",11,35,"1,707",41,500,,
5991,Conveyancers and Legal Executives,"16,800",37,78,"1,575",37,-600,,
5992,Court and Legal Clerks,"20,000",39,69,"1,345",29,600,,
5993,Debt Collectors,"6,700",18,68,"1,519",41,500,,
5994,Human Resource Clerks,"27,100",11,77,"1,476",40,"2,100",,
5995,Inspectors and Regulatory Officers,"44,800",16,55,"1,862",44,800,,
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors","9,100",11,42,"1,995",41,800,,
5997,Library Assistants,"6,700",69,70,"1,779",48,-100,,
5999,Other Miscellaneous Clerical and Administrative Workers,"24,600",32,63,"1,590",39,"1,500",,
6111,"Auctioneers, and Stock and Station Agents","3,000",12,29,N/A,44,-200,,
6112,Insurance Agents,"17,300",10,58,"1,559",40,800,,
6113,Sales Representatives,"71,800",17,37,"1,692",43,-400,,
6121,Real Estate Sales Agents,"103,900",21,52,"1,504",43,900,,
6211,Sales Assistants (General),"562,000",75,65,"1,241",23,"9,500",,
6212,ICT Sales Assistants,"13,600",17,37,"1,178",35,"-1,100",,
6213,Motor Vehicle and Vehicle Parts Salespersons,"39,100",9,21,"1,316",39,"1,900",,
6214,Pharmacy Sales Assistants,"39,900",74,84,"1,112",24,400,,
6215,Retail Supervisors,"49,400",32,59,"1,267",33,"2,200",,
6216,Service Station Attendants,"13,300",57,47,"1,233",35,300,,
6217,Street Vendors and Related Salespersons,"5,900",50,49,N/A,31,200,,
6219,Other Sales Assistants and Salespersons,"11,100",37,35,"1,318",41,"-2,000",,
6311,Checkout Operators and Office Cashiers,"119,300",78,68,"1,077",23,"-5,100",,
6391,Models and Sales Demonstrators,"10,200",52,77,N/A,43,400,,
6392,Retail and Wool Buyers,"6,800",14,56,"1,535",41,-400,,
6393,Telemarketers,"5,500",40,46,N/A,39,300,,
6394,Ticket Salespersons,"18,300",68,61,"1,276",28,500,,
6395,Visual Merchandisers,"7,400",67,88,"1,200",43,-200,,
6399,Other Sales Support Workers,"6,500",56,56,"1,363",27,-200,,
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators","2,700",10,4,"1,716",43,-100,,
7112,Industrial Spraypainters,"5,900",5,2,N/A,40,-100,,
7113,Paper and Wood Processing Machine Operators,"5,100",24,10,"1,451",45,-600,,
7114,Photographic Developers and Printers,"1,300",76,75,"1,406",43,0,,
7115,Plastics and Rubber Production Machine Operators,"8,100",6,5,"1,708",44,300,,
